post_id,post_date,time,account,series,ref,media,channels,images,caption,caption_fb,caption_li
r2b-day-006,2026-09-05,14:00,growthwealth,Round 2b,Day 006,image,"ig,fb,li",r2b/r2b-day-006.jpg,"🔥 DAY 06
The 5AM Club
— Robin Sharma

The hour before the world wakes is the only one nobody can claim.

📖 Protect it like a meeting you cannot move.

Solitude is where the real thinking happens.

Win the first hour and the rest argues less.

World class is a routine, not a talent.

🔥

#Day06 #Morning #Discipline #Focus #Routine #Solitude #Standards","🔥 DAY 06
The 5AM Club
— Robin Sharma

The hour before the world wakes is the only one nobody can claim.

📖 Protect it like a meeting you cannot move.

Solitude is where the real thinking happens.

Win the first hour and the rest argues less.

World class is a routine, not a talent.

🔥

Call or text 778-863-0019.

#Day06 #Morning #Discipline","DAY 06
The 5AM Club
— Robin Sharma

The hour before the world wakes is the only one nobody can claim.

 Protect it like a meeting you cannot move.

Solitude is where the real thinking happens.

Win the first hour and the rest argues less.

World class is a routine, not a talent.

Call or text 778-863-0019."
r2-day-007,2026-09-06,01:00,growthwealth,Round 2,Day 007,image,"ig,fb,li",r2/r2-day-007.jpg,"🔥 DAY 07
Go Pro
— Eric Worre

Amateurs look for events. Professionals build a process.

📖 Volume beats brilliance when it is repeated.

Do the boring thing on the day you do not feel like it.

Skill is just reps nobody watched.

Treat it like a profession and it starts paying like one.

**Consistency is a decision you make once and defend daily.**

🔥

#Day07 #Consistency #Discipline #Professionalism #Execution #Growth #Standards","🔥 DAY 07
Go Pro
— Eric Worre

Amateurs look for events. Professionals build a process.

📖 Volume beats brilliance when it is repeated.

Do the boring thing on the day you do not feel like it.

Skill is just reps nobody watched.

Treat it like a profession and it starts paying like one.

**Consistency is a decision you make once and defend daily.**

🔥

Call or text 778-863-0019.

#Day07 #Consistency #Discipline","DAY 07
Go Pro
— Eric Worre

Amateurs look for events. Professionals build a process.

 Volume beats brilliance when it is repeated.

Do the boring thing on the day you do not feel like it.

Skill is just reps nobody watched.

Treat it like a profession and it starts paying like one.

— *Consistency is a decision you make once and defend daily.**

Call or text 778-863-0019."
re-es-day-01,2026-09-06,10:00,ramonhouses,RE Single ES,Day 01,image,"ig,fb,li",re-es/re-es-day-01.jpg,"Aceptada no es vendida

Qué pasa después de la oferta

• Preaprobado no es lo mismo que aprobado.
• El banco todavía tiene que aprobar la propiedad, no solo a ti.
• El levantamiento de condiciones es el plazo real.
• Todo lo anterior es reversible. Lo posterior, no.

¿Estás pensando en comprar o vender en el Fraser Valley? Escríbeme y revisamos tus opciones.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

#BienesRaicesBC #FraserValley #Langley #AgenteEnEspanol #ramonhouses","Aceptada no es vendida

Qué pasa después de la oferta

• Preaprobado no es lo mismo que aprobado.
• El banco todavía tiene que aprobar la propiedad, no solo a ti.
• El levantamiento de condiciones es el plazo real.
• Todo lo anterior es reversible. Lo posterior, no.

¿Estás pensando en comprar o vender en el Fraser Valley? Escríbeme y revisamos tus opciones.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Llama o escribe al 778-863-0019.

#BienesRaicesBC #FraserValley #Langley","Aceptada no es vendida

Qué pasa después de la oferta

— Preaprobado no es lo mismo que aprobado.
— El banco todavía tiene que aprobar la propiedad, no solo a ti.
— El levantamiento de condiciones es el plazo real.
— Todo lo anterior es reversible. Lo posterior, no.

¿Estás pensando en comprar o vender en el Fraser Valley? Escríbeme y revisamos tus opciones.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Llama o escribe al 778-863-0019.

#BienesRaicesBC #FraserValley"
r2b-day-007,2026-09-06,14:00,growthwealth,Round 2b,Day 007,image,"ig,fb,li",r2b/r2b-day-007.jpg,"🔥 DAY 07
The Energy Bus
— Jon Gordon

Energy is contagious, and so is the absence of it.

📖 People read your mood before your message.

Enthusiasm is a decision, not a temperament.

You cannot lead anywhere while sounding defeated.

Protect the team's energy like an asset.

🔥

#Day07 #Energy #Leadership #Positivity #Team #Culture #Mindset","🔥 DAY 07
The Energy Bus
— Jon Gordon

Energy is contagious, and so is the absence of it.

📖 People read your mood before your message.

Enthusiasm is a decision, not a temperament.

You cannot lead anywhere while sounding defeated.

Protect the team's energy like an asset.

🔥

Call or text 778-863-0019.

#Day07 #Energy #Leadership","DAY 07
The Energy Bus
— Jon Gordon

Energy is contagious, and so is the absence of it.

 People read your mood before your message.

Enthusiasm is a decision, not a temperament.

You cannot lead anywhere while sounding defeated.

Protect the team's energy like an asset.

Call or text 778-863-0019."
r2-day-008,2026-09-07,01:00,growthwealth,Round 2,Day 008,image,"ig,fb,li",r2/r2-day-008.jpg,"🔥 DAY 08
Thinking, Fast and Slow
— Daniel Kahneman

Your first answer is fast. It is rarely your best one.

📖 Confidence is a feeling, not evidence.

Write the decision down before you defend it.

Slow the important calls. Automate the small ones.

The story you tell yourself is the bias you cannot see.

**The costly decisions are the ones that felt obvious.**

🔥

#Day08 #DecisionMaking #Mindset #Judgment #Leadership #Thinking #Business","🔥 DAY 08
Thinking, Fast and Slow
— Daniel Kahneman

Your first answer is fast. It is rarely your best one.

📖 Confidence is a feeling, not evidence.

Write the decision down before you defend it.

Slow the important calls. Automate the small ones.

The story you tell yourself is the bias you cannot see.

**The costly decisions are the ones that felt obvious.**

🔥

Call or text 778-863-0019.

#Day08 #DecisionMaking #Mindset","DAY 08
Thinking, Fast and Slow
— Daniel Kahneman

Your first answer is fast. It is rarely your best one.

 Confidence is a feeling, not evidence.

Write the decision down before you defend it.

Slow the important calls. Automate the small ones.

The story you tell yourself is the bias you cannot see.

— *The costly decisions are the ones that felt obvious.**

Call or text 778-863-0019."
re-en-day-02,2026-09-07,10:00,ramonhouses,RE Single EN,Day 02,image,"ig,fb,li",re-en/re-en-day-02.jpg,"Metro Vancouver is dozens of small markets.

One neighbourhood can move while the next does not.

Ask for the numbers on your specific block.

A national average has never sold a house.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

#metrovancouver #langley #surreybc #realestatemarket #housingmarket #exprealty","Metro Vancouver is dozens of small markets.

One neighbourhood can move while the next does not.

Ask for the numbers on your specific block.

A national average has never sold a house.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Call or text 778-863-0019.

#metrovancouver #langley #surreybc","Metro Vancouver is dozens of small markets.

One neighbourhood can move while the next does not.

Ask for the numbers on your specific block.

A national average has never sold a house.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Call or text 778-863-0019.

#metrovancouver #langley"
r2b-day-008,2026-09-07,14:00,growthwealth,Round 2b,Day 008,image,"ig,fb,li",r2b/r2b-day-008.jpg,"🔥 DAY 08
The Miracle Morning
— Hal Elrod

How you begin the day sets the terms for everything after it.

📖 Do not let the phone speak first.

Quiet before input. Always.

A short routine kept daily beats a long one kept sometimes.

The morning is a rehearsal for the person you are building.

🔥

#Day08 #Morning #Routine #Discipline #Focus #Habits #Growth","🔥 DAY 08
The Miracle Morning
— Hal Elrod

How you begin the day sets the terms for everything after it.

📖 Do not let the phone speak first.

Quiet before input. Always.

A short routine kept daily beats a long one kept sometimes.

The morning is a rehearsal for the person you are building.

🔥

Call or text 778-863-0019.

#Day08 #Morning #Routine","DAY 08
The Miracle Morning
— Hal Elrod

How you begin the day sets the terms for everything after it.

 Do not let the phone speak first.

Quiet before input. Always.

A short routine kept daily beats a long one kept sometimes.

The morning is a rehearsal for the person you are building.

Call or text 778-863-0019."
r2-day-009,2026-09-08,01:00,growthwealth,Round 2,Day 009,image,"ig,fb,li",r2/r2-day-009.jpg,"🔥 DAY 09
The Culture Code
— Daniel Coyle

Teams do not perform because they are talented. They perform because they feel safe.

📖 Say the awkward thing early.

Admit your own mistake first and watch the room open.

Belonging is built in small repeated signals.

Culture is what you tolerate on a bad day.

**You cannot demand trust. You can only go first.**

🔥

#Day09 #Leadership #Culture #Teams #Trust #Management #Communication","🔥 DAY 09
The Culture Code
— Daniel Coyle

Teams do not perform because they are talented. They perform because they feel safe.

📖 Say the awkward thing early.

Admit your own mistake first and watch the room open.

Belonging is built in small repeated signals.

Culture is what you tolerate on a bad day.

**You cannot demand trust. You can only go first.**

🔥

Call or text 778-863-0019.

#Day09 #Leadership #Culture","DAY 09
The Culture Code
— Daniel Coyle

Teams do not perform because they are talented. They perform because they feel safe.

 Say the awkward thing early.

Admit your own mistake first and watch the room open.

Belonging is built in small repeated signals.

Culture is what you tolerate on a bad day.

— *You cannot demand trust. You can only go first.**

Call or text 778-863-0019."
car-en-w02a,2026-09-08,11:00,ramonhouses,Carousel EN,w02a,carousel,"ig,fb,li",car-en/w02a/01.jpg|car-en/w02a/02.png|car-en/w02a/03.png|car-en/w02a/04.png|car-en/w02a/05.png|car-en/w02a/06.png|car-en/w02a/07.png|car-en/w02a/08.png,"How I analyse a rental

1. Rent minus everything
2. One empty month
3. The renewal rate
4. Strata health
5. Cost to turn it over
6. Who buys it from you

Swipe through all 8.

Thinking about buying or selling in the Fraser Valley? Send me a message and let's review your options.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

#FraserValleyRealEstate #LangleyRealEstate #BCRealEstate #RealEstateTips #ramonhouses","How I analyse a rental

1. Rent minus everything
2. One empty month
3. The renewal rate
4. Strata health
5. Cost to turn it over
6. Who buys it from you

Swipe through all 8.

Thinking about buying or selling in the Fraser Valley? Send me a message and let's review your options.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Call or text 778-863-0019.

#FraserValleyRealEstate #LangleyRealEstate #BCRealEstate","How I analyse a rental

1. Rent minus everything
2. One empty month
3. The renewal rate
4. Strata health
5. Cost to turn it over
6. Who buys it from you

Thinking about buying or selling in the Fraser Valley? Send me a message and let's review your options.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Call or text 778-863-0019.

#FraserValleyRealEstate #LangleyRealEstate"
r2b-day-009,2026-09-08,14:00,growthwealth,Round 2b,Day 009,image,"ig,fb,li",r2b/r2b-day-009.jpg,"🔥 DAY 09
Own the Day, Own Your Life
— Aubrey Marcus

A good day is built from a handful of repeatable decisions.

📖 Light and water before caffeine.

Move before you sit down to think.

Fuel the afternoon at breakfast.

Design the day rather than reacting to it.

🔥

#Day09 #Energy #Health #Routine #Performance #Discipline #Wellness","🔥 DAY 09
Own the Day, Own Your Life
— Aubrey Marcus

A good day is built from a handful of repeatable decisions.

📖 Light and water before caffeine.

Move before you sit down to think.

Fuel the afternoon at breakfast.

Design the day rather than reacting to it.

🔥

Call or text 778-863-0019.

#Day09 #Energy #Health","DAY 09
Own the Day, Own Your Life
— Aubrey Marcus

A good day is built from a handful of repeatable decisions.

 Light and water before caffeine.

Move before you sit down to think.

Fuel the afternoon at breakfast.

Design the day rather than reacting to it.

Call or text 778-863-0019."
r2-day-010,2026-09-09,01:00,growthwealth,Round 2,Day 010,image,"ig,fb,li",r2/r2-day-010.jpg,"🔥 DAY 10
Tiny Habits
— BJ Fogg PhD

Make it so small you cannot talk yourself out of it.

📖 Attach the new habit to one you already have.

Motivation is unreliable. Design is not.

Celebrate the rep, not the outcome.

Shrink it until it is boring, then keep it.

**You do not need more willpower. You need a smaller first step.**

🔥

#Day10 #Habits #Discipline #Behavior #Consistency #Systems #Growth","🔥 DAY 10
Tiny Habits
— BJ Fogg PhD

Make it so small you cannot talk yourself out of it.

📖 Attach the new habit to one you already have.

Motivation is unreliable. Design is not.

Celebrate the rep, not the outcome.

Shrink it until it is boring, then keep it.

**You do not need more willpower. You need a smaller first step.**

🔥

Call or text 778-863-0019.

#Day10 #Habits #Discipline","DAY 10
Tiny Habits
— BJ Fogg PhD

Make it so small you cannot talk yourself out of it.

 Attach the new habit to one you already have.

Motivation is unreliable. Design is not.

Celebrate the rep, not the outcome.

Shrink it until it is boring, then keep it.

— *You do not need more willpower. You need a smaller first step.**

Call or text 778-863-0019."
car-es-w02a,2026-09-09,11:00,ramonhouses,Carousel ES,w02a,carousel,"ig,fb,li",car-es/w02a/01.jpg|car-es/w02a/02.png|car-es/w02a/03.png|car-es/w02a/04.png|car-es/w02a/05.png|car-es/w02a/06.png|car-es/w02a/07.png|car-es/w02a/08.png,"Cómo analizo una renta

1. Renta menos todo
2. Un mes vacío
3. La tasa de renovación
4. La salud del strata
5. El costo de cambiar de inquilino
6. Quién te la compra después

Desliza para ver los 8.

¿Estás pensando en comprar o vender en el Fraser Valley? Escríbeme y revisamos tus opciones.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

#BienesRaicesBC #FraserValley #Langley #InmobiliariaBC #AgenteEnEspanol #ramonhouses","Cómo analizo una renta

1. Renta menos todo
2. Un mes vacío
3. La tasa de renovación
4. La salud del strata
5. El costo de cambiar de inquilino
6. Quién te la compra después

Desliza para ver los 8.

¿Estás pensando en comprar o vender en el Fraser Valley? Escríbeme y revisamos tus opciones.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Llama o escribe al 778-863-0019.

#BienesRaicesBC #FraserValley #Langley","Cómo analizo una renta

1. Renta menos todo
2. Un mes vacío
3. La tasa de renovación
4. La salud del strata
5. El costo de cambiar de inquilino
6. Quién te la compra después

¿Estás pensando en comprar o vender en el Fraser Valley? Escríbeme y revisamos tus opciones.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Llama o escribe al 778-863-0019.

#BienesRaicesBC #FraserValley"
r2b-day-010,2026-09-09,14:00,growthwealth,Round 2b,Day 010,image,"ig,fb,li",r2b/r2b-day-010.jpg,"🔥 DAY 10
Sell or Be Sold
— Grant Cardone

Every conversation moves someone one way or the other.

📖 You are selling an idea whether you called it that or not.

Persuasion is a life skill, not a job description.

Refusing to learn it does not exempt you from it.

The person with more conviction usually sets the direction.

🔥

#Day10 #Sales #Persuasion #Influence #Communication #Business #Mindset","🔥 DAY 10
Sell or Be Sold
— Grant Cardone

Every conversation moves someone one way or the other.

📖 You are selling an idea whether you called it that or not.

Persuasion is a life skill, not a job description.

Refusing to learn it does not exempt you from it.

The person with more conviction usually sets the direction.

🔥

Call or text 778-863-0019.

#Day10 #Sales #Persuasion","DAY 10
Sell or Be Sold
— Grant Cardone

Every conversation moves someone one way or the other.

 You are selling an idea whether you called it that or not.

Persuasion is a life skill, not a job description.

Refusing to learn it does not exempt you from it.

The person with more conviction usually sets the direction.

Call or text 778-863-0019."
r2-day-011,2026-09-10,01:00,growthwealth,Round 2,Day 011,image,"ig,fb,li",r2/r2-day-011.jpg,"🔥 DAY 11
The Speed of Trust
— Stephen M.R. Covey

Trust is not a nice-to-have. It is the cost of everything you do.

📖 Low trust shows up as delay and paperwork.

Say what you will do, then do exactly that.

Deliver bad news yourself and deliver it early.

Reputation compounds faster than revenue.

**Everything moves faster when people do not have to check.**

🔥

#Day11 #Trust #Leadership #Relationships #Integrity #Reputation #Character","🔥 DAY 11
The Speed of Trust
— Stephen M.R. Covey

Trust is not a nice-to-have. It is the cost of everything you do.

📖 Low trust shows up as delay and paperwork.

Say what you will do, then do exactly that.

Deliver bad news yourself and deliver it early.

Reputation compounds faster than revenue.

**Everything moves faster when people do not have to check.**

🔥

Call or text 778-863-0019.

#Day11 #Trust #Leadership","DAY 11
The Speed of Trust
— Stephen M.R. Covey

Trust is not a nice-to-have. It is the cost of everything you do.

 Low trust shows up as delay and paperwork.

Say what you will do, then do exactly that.

Deliver bad news yourself and deliver it early.

Reputation compounds faster than revenue.

— *Everything moves faster when people do not have to check.**

Call or text 778-863-0019."
re-es-day-02,2026-09-10,10:00,ramonhouses,RE Single ES,Day 02,image,"ig,fb,li",re-es/re-es-day-02.jpg,"El titular nacional no es tu calle

Por qué solo sirve el dato local

• Metro Vancouver son decenas de mercados pequeños.
• Un barrio se mueve mientras el de al lado no.
• Pide los números de tu cuadra específica.
• Un promedio nacional nunca ha vendido una casa.

¿Estás pensando en comprar o vender en el Fraser Valley? Escríbeme y revisamos tus opciones.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

#BienesRaicesBC #FraserValley #Langley #AgenteEnEspanol #ramonhouses","El titular nacional no es tu calle

Por qué solo sirve el dato local

• Metro Vancouver son decenas de mercados pequeños.
• Un barrio se mueve mientras el de al lado no.
• Pide los números de tu cuadra específica.
• Un promedio nacional nunca ha vendido una casa.

¿Estás pensando en comprar o vender en el Fraser Valley? Escríbeme y revisamos tus opciones.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Llama o escribe al 778-863-0019.

#BienesRaicesBC #FraserValley #Langley","El titular nacional no es tu calle

Por qué solo sirve el dato local

— Metro Vancouver son decenas de mercados pequeños.
— Un barrio se mueve mientras el de al lado no.
— Pide los números de tu cuadra específica.
— Un promedio nacional nunca ha vendido una casa.

¿Estás pensando en comprar o vender en el Fraser Valley? Escríbeme y revisamos tus opciones.

Ramon Gutierrez PREC · eXp Realty · ramonhouses.com

Llama o escribe al 778-863-0019.

#BienesRaicesBC #FraserValley"
